Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-01-01,930.7738037109375,990.4773941565916,891.815892761256,905.4595016417325,66137366
2014-02-01,946.8698120117188,948.6381067282077,867.5462320085202,924.5060847149463,45670390
2014-03-01,887.5384521484375,956.5436068263926,836.8820505105357,945.2265387970551,64102864
2014-04-01,910.8589477539062,941.9809536406027,873.7455842072728,892.4687038688572,50211136
2014-05-01,890.9505004882812,937.5710085851165,831.9309988946491,910.8593659207476,62287858
2014-06-01,1009.1342163085938,1013.1285213365869,855.4382915269088,892.0523818257259,47278736
2014-07-01,1083.7811279296875,1098.1892769591504,980.8449006116172,1016.0880660830004,37681358
2014-08-01,1061.580810546875,1089.1898033395812,1022.7134496618414,1083.739560855655,37398676
2014-09-01,1151.752197265625,1171.0490136240528,1058.1086780276191,1062.8644239945388,38972334
2014-10-01,1097.56494140625,1195.1435066457261,1016.4001895194366,1158.233259444095,52122622
2014-11-01,1114.6070556640625,1135.2291427520788,1075.8087775251697,1117.1373781513817,32515954
2014-12-01,1078.8660888671875,1143.2627659280733,988.9342239396286,1117.7697912801643,44578912
2015-01-01,1046.73095703125,1096.430635736216,1015.2705794892181,1082.5560781773272,54205486
2015-02-01,1125.013916015625,1153.6003448330882,1028.0987688567413,1048.8044160716943,50414346
2015-03-01,1079.2080078125,1188.293037131917,1056.8332501193242,1132.3454653105027,47499206
2015-04-01,1041.0714111328125,1146.7969545813835,1014.5766561146886,1080.9192362937833,57822976
2015-05-01,1103.0191650390625,1119.2033917904353,1036.845581262983,1041.0712225471495,48810590
2015-06-01,1077.9403076171875,1118.5699242159733,1046.6072081553623,1102.6603174968939,43641462
2015-07-01,1070.8162841796875,1128.8832094088668,1047.0393219799394,1093.484323981439,47457494
2015-08-01,1095.8988037109375,1176.5936980036106,1062.5394879754997,1069.9763678335655,52523858
2015-09-01,1106.1563720703125,1129.9416516905821,1064.248880234076,1092.457886698112,44310638
2015-10-01,1066.4715576171875,1183.9236423566772,1049.653065956386,1110.836659380868,59754614
2015-11-01,1016.6875610351562,1091.3258892211757,999.1041635230431,1070.8511934866485,32573672
2015-12-01,1043.8016357421875,1056.4590144206463,991.7153867923319,1012.1257706962078,41130386
2016-01-01,1024.290771484375,1044.7225946717456,960.7678474164516,1044.7225946717456,47374642
2016-02-01,934.6660766601562,1047.6778647072013,908.1306081375944,1026.6814117269182,34424190
2016-03-01,1082.15673828125,1094.9091890468694,928.3112418507183,941.6219025803076,42997674
2016-04-01,1088.68310546875,1096.41187529657,1031.4902297085123,1075.5871343716108,49196874
2016-05-01,1103.2392578125,1136.5588956261256,1043.8136287371028,1085.892499825641,33659726
2016-06-01,1096.2403564453125,1149.7405650569503,1055.5783487315855,1104.0120023309523,43850532
2016-07-01,1136.332763671875,1143.1004589827721,1042.7120782543718,1111.4742435979615,52253628
2016-08-01,1092.3017578125,1193.8636801197274,1072.9245047167174,1144.800768790676,46041780
2016-09-01,1057.2882080078125,1102.5887104766596,993.7630346890999,1098.2173932549892,51842742
2016-10-01,1043.326171875,1068.9667389072888,996.4815560186563,1065.6393767986503,41500766
