Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-01-01,894.3282470703125,907.2864958082939,893.4145432526518,905.4590881729725,529952
2014-01-02,900.0184936523438,909.1557372427229,895.512130685773,899.6031643982357,1726948
2014-01-03,922.944580078125,925.8104125591943,891.8156750600491,899.0631497295616,2618174
2014-01-06,930.1714477539062,931.998855931529,912.478380785013,925.7689170549813,2311810
2014-01-07,916.27880859375,937.1698952617404,913.3092442889251,930.3377477067722,2897486
2014-01-08,927.2845458984375,931.9985721056051,917.8773816191566,918.7080398830653,2550020
2014-01-09,931.1472778320312,936.7750087607278,922.9030540674563,925.6649526825414,2582206
2014-01-10,947.32470703125,959.3277865058637,928.2611297581415,938.6443638717672,3369334
2014-01-13,983.8109741210938,990.1447439808707,949.0271560387121,949.0271560387121,3814316
2014-01-14,966.3671875,990.477067126205,963.5637154829698,985.160833243795,2974964
2014-01-15,977.5189208984375,987.7359591653884,966.47112276883,972.8879391228505,3048854
2014-01-16,976.1481323242188,988.5249614108917,965.640284433223,988.4833879359444,2997962
2014-01-17,919.1447143554688,954.4269252777796,916.2374086648924,954.4269252777796,7564756
2014-01-20,971.1231079101562,976.024014731969,920.1622147398626,921.5950807796085,6010558
2014-01-21,947.0753173828125,971.5589566058597,944.9156255435698,969.3784780241857,3132282
2014-01-22,944.4798583984375,953.9493891591004,940.3473510779735,949.8999274402917,2384030
2014-01-23,935.508056640625,945.5797878068303,929.2158610282328,942.0080182118562,2290762
2014-01-24,933.9509887695312,948.3006365507957,928.260997565325,931.9989613139103,1850266
2014-01-27,927.6682739257812,940.1087070002744,923.7156150558974,926.1703836169997,2532948
2014-01-28,920.490966796875,935.261427112314,913.729840596146,928.666688001681,2852166
2014-01-29,919.4302368164062,931.9955131510347,917.4330832580498,931.9955131510347,1698076
2014-01-30,922.67529296875,926.5863036410816,911.1917399972917,914.5411180789184,2225250
2014-01-31,932.4321899414062,944.3941831484894,924.0899795802335,925.7959044606662,2174246
2014-02-03,913.0433349609375,933.7636082298573,911.5247225148256,924.5060654948169,1362480
2014-02-04,895.1107177734375,904.9507159612026,878.7591741760481,904.5346466665078,2694166
2014-02-05,913.022705078125,915.352734488603,890.3885690025502,900.2910416279077,1853650
2014-02-06,905.0545654296875,911.149938834726,892.468471599439,907.0308942129496,1922652
2014-02-07,892.2191162109375,913.2722669603398,886.6438272858697,911.1919201107719,1990912
2014-02-10,871.0620727539062,892.0527527057445,867.5463068009676,892.0527527057445,4019270
2014-02-11,874.453125,884.7716674664517,872.0815494990279,873.7458272652475,3568786
2014-02-12,876.01318359375,883.564903165911,871.6652792470434,881.2348741982041,3074348
2014-02-13,887.7877197265625,889.7224010147683,872.2891409053256,876.6578678213789,2094350
2014-02-14,901.9962768554688,909.0070827207012,885.4368058167512,889.5142022558024,1910062
2014-02-17,900.9566040039062,909.5276739510488,893.3841615266061,898.7098699607801,1670394
2014-02-18,901.2062377929688,911.6079718395173,896.9831744018436,900.7901684311068,1526916
2014-02-19,914.4996948242188,921.593698234872,899.6460379270212,902.870575697369,1072918
2014-02-20,910.9213256835938,924.5059471464871,908.196051563116,917.8488386161793,1587924
